BRAND;MODEL;COUNTRY_ORIGIN;COUNTRY_CODE
Mazda;5 1.8 MT5 Touring;Япония;JP
Mazda;5 2.0 AT5 Active;Япония;JP
Mazda;5 2.0 AT5 Touring Plus;Япония;JP
Mazda;5 2.0 MT6 Active;Япония;JP
Mazda;5 2.0 MT6 Touring Plus;Япония;JP
BMW;5 Series Sedan;Германия;DE
BMW;5 Series Touring;Германия;DE
Bristol;5.9 i V6 Blenheim II;Виргинские о-ва (Британские);VG
Bristol;5.9 i V8 3S Blenheim III;Виргинские о-ва (Британские);VG
Bristol;5.9 i V8 3S Speedster;Виргинские о-ва (Британские);VG
Bristol;5.9 i V8 Blenheim III;Виргинские о-ва (Британские);VG
Fiat;500;Италия;IT
Mitsubishi;500;Япония;JP
Fiat;500 1.2;Италия;IT
Fiat;500 1.4;Италия;IT
Maserati;5000GT Barchetta Stradale 2.0i;Италия;IT
Peugeot;5008;Франция;FR
Fiat;500L;Италия;IT
Fiat;500X;Италия;IT
Peugeot;508;Франция;FR
BMW;530D XDrive;Германия;DE
Ferrari;557 GTZ;Италия;IT
Maybach;57 5.5 i;Германия;DE
Ferrari;575 GTZ;Италия;IT
Ferrari;575M Maranello;Италия;IT
DongFeng;580;Китай;CN
Ferrari;599 GTB Fiorano 6.0;Италия;IT
Москвич;6;Россия;RU
Mazda;6 Hatchback 1.8;Япония;JP
Mazda;6 Hatchback 2.0;Япония;JP
Mazda;6 Hatchback 2.5;Япония;JP
Mazda;6 Sedan 1.8;Япония;JP
Mazda;6 Sedan 2.0;Япония;JP
Mazda;6 Sedan 2.5;Япония;JP
BMW;6 Series Convertible;Германия;DE
BMW;6 Series Coupe;Германия;DE
Mazda;6 Wagon 1.8;Япония;JP
Mazda;6 Wagon 2.0;Япония;JP
Dodge;600;США;US
Peugeot;605;Франция;FR
Peugeot;607;Франция;FR
Ferrari;612 Scaglietti 5.7;Италия;IT
Maybach;62 5.5 i;Германия;DE
Mazda;626;Япония;JP
BMW;7 Series;Германия;DE
Tatra;700 3.5 i;Чешская Республика;CZ
Datsun;720;Япония;JP
Volvo;740;Швеция;SE
Rover;75 1.8;Виргинские о-ва (Британские);VG
Rover;75 2.0;Виргинские о-ва (Британские);VG
Rover;75 2.5;Виргинские о-ва (Британские);VG
Volvo;760;Швеция;SE
International;7600;США;US
Bristol;8.0 i V10 Fighter;Виргинские о-ва (Британские);VG
Peugeot;807;Франция;FR
Volvo;850;Швеция;SE
Saab;9-3 Convertible Aero;Швеция;SE
Saab;9-3 Convertible Aero 2.8;Швеция;SE
Saab;9-3 Convertible Vector;Швеция;SE
Saab;9-3 Convertible Vector 2.0;Швеция;SE
Saab;9-3 Sport Combi Aero;Швеция;SE
Saab;9-3 Sport Combi Aero 2.0;Швеция;SE
Saab;9-3 Sport Combi Aero 2.8;Швеция;SE
Saab;9-3 Sport Combi Aero XWD 2.0;Швеция;SE
Saab;9-3 Sport Combi Aero XWD 2.8;Швеция;SE
Saab;9-3 Sport Combi Linear 1.8;Швеция;SE
Saab;9-3 Sport Combi Linear 2.0;Швеция;SE
Saab;9-3 Sport Combi Vector;Швеция;SE
Saab;9-3 Sport Combi Vector 2.0;Швеция;SE
Saab;9-3 Sport Sedan Aero;Швеция;SE
Saab;9-3 Sport Sedan Aero 2.0;Швеция;SE
Saab;9-3 Sport Sedan Aero 2.8;Швеция;SE
Saab;9-3 Sport Sedan Aero XWD;Швеция;SE
Saab;9-3 Sport Sedan Aero XWD 2.0;Швеция;SE
Saab;9-3 Sport Sedan Aero XWD 2.8;Швеция;SE
Saab;9-3 Sport Sedan Linear 1.8;Швеция;SE
Saab;9-3 Sport Sedan Linear 1.9;Швеция;SE
Saab;9-3 Sport Sedan Linear 2.0;Швеция;SE
Saab;9-3 Sport Sedan Vector;Швеция;SE
Saab;9-3 Sport Sedan Vector 1.9;Швеция;SE
Saab;9-3 Sport Sedan Vector 2.0;Швеция;SE
Saab;9-5 Sedan Aero 2.3;Швеция;SE
Saab;9-5 Sedan Linear;Швеция;SE
Saab;9-5 Sedan Linear 2.0;Швеция;SE
Saab;9-5 Sedan Vector;Швеция;SE
Saab;9-5 Sedan Vector 2.3;Швеция;SE
Saab;9-5 Sport Combi Aero;Швеция;SE
Saab;9-5 Sport Combi Aero 2.3;Швеция;SE
Saab;9-5 Sport Combi Linear;Швеция;SE
Saab;9-5 Sport Combi Linear 2.0;Швеция;SE
Saab;9-5 Sport Combi Vector;Швеция;SE
Saab;9-5 Sport Combi Vector 2.3;Швеция;SE
Porsche;911997;Германия;DE
International;9200;США;US
Volvo;940;Швеция;SE
International;9400;США;US
Volvo;960;Швеция;SE
International;9800;США;US
Mercedes;A-Class 3D A 150;Германия;DE
Mercedes;A-Class 3D A 170;Германия;DE
Mercedes;A-Class 3D A 180;Германия;DE
Mercedes;A-Class 3D A 200;Германия;DE
Mercedes;A-Class 5D A 150;Германия;DE
Mercedes;A-Class 5D A 170;Германия;DE
Mercedes;A-Class 5D A 180;Германия;DE
Mercedes;A-Class 5D A 200;Германия;DE
Audi;A3;Германия;DE
Audi;A3 Cabriolet;Германия;DE
Audi;A3 Sportback;Германия;DE
DongFeng;A30;Китай;CN
Audi;A4;Германия;DE
Audi;A4 Avant;Германия;DE
Audi;A5;Германия;DE
Chery;A5 2.0;Китай;CN
Audi;A6;Германия;DE
Audi;A6 Avant;Германия;DE
Audi;A6 allroad quattro;Германия;DE
Audi;A8;Германия;DE
DongFeng;A9;Китай;CN
Nissan;AD;Япония;JP
Mercedes;AMG GT;Германия;DE
Mercedes;AMG ONE;Германия;DE
Suzuki;APV;Япония;JP
Mitsubishi;ASX;Япония;JP
Cadillac;ATS;США;США
Cadillac;ATS-V;США;США
DongFeng;AX4;Китай;CN
DongFeng;AX7;Китай;CN
GMC;Acadia 3.6;США;US
Hyundai;Accent AT4 1.5;Корея;KR
Hyundai;Accent AT5 1.5;Корея;KR
Hyundai;Accent MT0 1.5;Корея;KR
Hyundai;Accent MT1 1.5;Корея;KR
Hyundai;Accent MT2 1.5;Корея;KR
Hyundai;Accent MT3 1.5;Корея;KR
Honda;Accord 2.0;Япония;JP
Honda;Accord 2.4;Япония;JP
Honda;Accord Type-S 2.4;Япония;JP
Suzuki;Across;Япония;JP
Ssang Yong;Actyon;Корея;KR
Ssang Yong;Actyon 2.0;Корея;KR
Ssang Yong;Actyon 2.3;Корея;KR
Ssang Yong;Actyon Sports;Корея;KR
Ssang Yong;Actyon Sports 2.0;Корея;KR
DongFeng;Aeolus E70;Китай;CN
DongFeng;Aeolus Yixuan GS;Китай;CN
Suzuki;Aerio;Япония;JP
Morgan;Aero 8 4.4 i;Виргинские о-ва (Британские);VG
Morgan;Aeromax 4.4;Виргинские о-ва (Британские);VG
Opel;Agila;Германия;DE
Mitsubishi;Airtrek;Япония;JP
Honda;Airwave;Япония;JP
Fiat;Albea 1.4;Италия;IT
Subaru;Alcyone;Япония;JP
Oldsmobile;Alero (Coupe) 2.2;США;US
Oldsmobile;Alero (Coupe) 2.4;США;US
Oldsmobile;Alero 2.2;США;US
Cadillac;Allante;США;США
Toyota;Allex;Япония;JP
Toyota;Allion;Япония;JP
Nissan;Almera;Япония;JP
Nissan;Almera Classic;Япония;JP
Nissan;Almera Tino;Япония;JP
Toyota;Alphard;Япония;JP
Changan;Alsvin V7;Китай;CN
Seat;Altea;Испания;ES
Seat;Altea 1.6i;Испания;ES
Seat;Altea 2.0;Испания;ES
Seat;Altea Freetrack;Испания;ES
Seat;Altea Freetrack 2.0;Испания;ES
Seat;Altea XL;Испания;ES
Seat;Altea XL 1.6i;Испания;ES
Seat;Altea XL 1.8;Испания;ES
Seat;Altea XL 2.0;Испания;ES
Toyota;Altezza;Япония;JP
Nissan;Altima;Япония;JP
Suzuki;Alto;Япония;JP
Suzuki;Alto Lapin;Япония;JP
Volkswagen;Amarok;Германия;DE
Chery;Amulet 1.6i;Китай;CN
Opel;Antara;Германия;DE
Opel;Antara 2.4;Германия;DE
Opel;Antara 3.2;Германия;DE
Huanghai;Antelope;Китай;CN
Huanghai;Antelope 4x2 2.2 L;Китай;CN
Huanghai;Antelope 4x4 2.2 L;Китай;CN
Derways;Antelope AURORA;Россия;RU
Daihatsu;Applause 1.6;Япония;JP
Toyota;Aqua;Япония;JP
TagAZ;Aquila;Россия;RU
Dodge;Aries;США;US
Toyota;Aristo;Япония;JP
Nissan;Ariya;Япония;JP
Renault;Arkana;Франция;FR
Nissan;Armada;Япония;JP
Bentley;Arnage 4.4;Виргинские о-ва (Британские);VG
Bentley;Arnage 6.75;Виргинские о-ва (Британские);VG
Chery;Arrizo 3;Китай;CN
Chery;Arrizo 6;Китай;CN
Chery;Arrizo 7;Китай;CN
Chery;Arrizo 8;Китай;CN
Volkswagen;Arteon;Германия;DE
Volkswagen;Arteon R;Германия;DE
Subaru;Ascent;Япония;JP
Opel;Ascona;Германия;DE
Mitsubishi;Aspire;Япония;JP
Doninvest;Assol 1.5 i;Россия;RU
Doninvest;Assol 1.6 i;Россия;RU
Opel;Astra;Германия;DE
Saturn;Astra;США;US
Opel;Astra 1.4;Германия;DE
Opel;Astra 1.6;Германия;DE
Opel;Astra 1.8;Германия;DE
Opel;Astra 1.9;Германия;DE
Opel;Astra 2.0;Германия;DE
Opel;Astra Caravan;Германия;DE
Opel;Astra Caravan 1.6;Германия;DE
Opel;Astra Caravan 1.8;Германия;DE
Opel;Astra Caravan 1.9;Германия;DE
Opel;Astra GTC;Германия;DE
Opel;Astra GTC 1.6;Германия;DE
Opel;Astra GTC 1.8;Германия;DE
Opel;Astra GTC 1.9;Германия;DE
Opel;Astra GTC 2.0;Германия;DE
Opel;Astra OPC 2.0;Германия;DE
Opel;Astra Sedan;Германия;DE
Opel;Astra Sedan 1.6;Германия;DE
Opel;Astra Sedan 1.8;Германия;DE
Opel;Astra Twin Top;Германия;DE
Opel;Astra Twin Top 1.8;Германия;DE
Opel;Astra Twin Top 2.0;Германия;DE
Mazda;Atenza;Япония;JP
Geely;Atlas;Китай;CN
Volkswagen;Atlas;Германия;DE
Volkswagen;Atlas Cross;Германия;DE
Geely;Atlas Pro;Китай;CN
Mitsubishi;Attrage;Япония;JP
Changan;Auchan A600 EV;Китай;CN
Saturn;Aura XR 3.5 i;США;US
Saturn;Aura XR 3.6L;США;US
Toyota;Aurion;Япония;JP
Toyota;Auris;Япония;JP
Toyota;Auris 1.4;Япония;JP
Toyota;Auris 1.6;Япония;JP
Derways;Aurora;Россия;RU
Derways;Aurora - 2;Россия;RU
Oldsmobile;Aurora 3.5 V6;США;US
Nissan;Auster;Япония;JP
Toyota;Avalon;Япония;JP
Hyundai;Avante;Корея;KR
Toyota;Avanza;Япония;JP
Kia;Avella;Корея;KR
Dodge;Avenger 2.0;США;US
Nissan;Avenir;Япония;JP
Toyota;Avensis;Япония;JP
Toyota;Avensis 1.8;Япония;JP
Toyota;Avensis 2.0;Япония;JP
Toyota;Avensis 2.4;Япония;JP
Toyota;Avensis Verso;Япония;JP
Toyota;Avensis Wagon;Япония;JP
Toyota;Avensis Wagon 1.8;Япония;JP
Toyota;Avensis Wagon 2.0;Япония;JP
Chevrolet;Aveo;США;US
Chevrolet;Aveo Hatchback Direct;США;US
Chevrolet;Aveo Hatchback Direct 1.2;США;US
Chevrolet;Aveo Hatchback Elite;США;US
Chevrolet;Aveo Hatchback Elite 1.4;США;US
Chevrolet;Aveo Hatchback Plus;США;US
Chevrolet;Aveo Hatchback Plus 1.2;США;US
Chevrolet;Aveo Hatchback Plus 1.4;США;US
Chevrolet;Aveo Hatchback Premium 1.4;США;US
Chevrolet;Aveo Hatchback Star;США;US
Chevrolet;Aveo Hatchback Star 1.2;США;US
Chevrolet;Aveo Hatchback Star 1.4;США;US
Chevrolet;Aveo Sedan Direct;США;US
Chevrolet;Aveo Sedan Direct 1.2;США;US
Chevrolet;Aveo Sedan Direct 1.4;США;US
Chevrolet;Aveo Sedan Elite;США;US
Chevrolet;Aveo Sedan Elite 1.2;США;US
Chevrolet;Aveo Sedan Elite 1.4;США;US
Chevrolet;Aveo Sedan Platinum 1.4;США;US
Chevrolet;Aveo Sedan Plus;США;US
Chevrolet;Aveo Sedan Plus 1.2;США;US
Chevrolet;Aveo Sedan Plus 1.4;США;US
Chevrolet;Aveo Sedan Premium;США;US
Chevrolet;Aveo Sedan Premium 1.4;США;US
Chevrolet;Aveo Sedan Star;США;US
Chevrolet;Aveo Sedan Star 1.2;США;US
Lincoln;Aviator;США;US
Mazda;Axela;Япония;JP
Toyota;Aygo;Япония;JP
Toyota;Aygo X;Япония;JP
Pontiac;Aztec 3.4;США;US
Bentley;Azure 6.8;Виргинские о-ва (Британские);VG
Bentley;Azure 6.8 Mulliner;Виргинские о-ва (Британские);VG
Mercedes;B-Class B 150;Германия;DE
Mercedes;B-Class B 170;Германия;DE
Mercedes;B-Class B 180;Германия;DE
Mercedes;B-Class B 200;Германия;DE
Mazda;B2500;Япония;JP
Nissan;BE-1;Япония;JP
Cadillac;BLS 2.0T Base1;США;США
Cadillac;BLS 2.0T Base2;США;США
Cadillac;BLS 2.0TS Mid1;США;США
Cadillac;BLS 2.0TS Mid2;США;США
Cadillac;BLS 2.8T Top1;США;США
Cadillac;BLS 2.8T Top2;США;США
Subaru;BRZ;Япония;JP
Mazda;BT-50;Япония;JP
Mazda;BT-50 2.5;Япония;JP
Subaru;Baja;Япония;JP
Suzuki;Baleno;Япония;JP
Fiat;Barchetta;Италия;IT
Nissan;Bassara;Япония;JP
Hyundai;Bayon;Корея;KR
Geely;Beauty Leopard;Китай;CN
Volkswagen;Beetle;Германия;DE
Toyota;Belta;Япония;JP
Buick;Bengal;США;US
Changan;Benni;Китай;CN
Changan;Benni EC/EV;Китай;CN
Bentley;Bentley Turbo RT;Виргинские о-ва (Британские);VG
Citroen;Berlingo 1.6;Франция;FR
FAW;Bestune B70;Китай;CN
FAW;Bestune B70S;Китай;CN
FAW;Bestune NAT;Китай;CN
FAW;Bestune T55;Китай;CN
FAW;Bestune T77;Китай;CN
FAW;Bestune T99;Китай;CN
FAW;Besturn;Китай;CN
FAW;Besturn B30;Китай;CN
FAW;Besturn B50;Китай;CN
FAW;Besturn B70;Китай;CN
FAW;Besturn X40;Китай;CN
FAW;Besturn X80;Китай;CN
Mazda;Biante;Япония;JP
Geely;Binyue Cool;Китай;CN
Peugeot;Bipper;Франция;FR
Lincoln;Blackwood;США;US
Toyota;Blade;Япония;JP
Bristol;Blenheim 3S 5.9 32V;Виргинские о-ва (Британские);VG
Bristol;Blenheim Speedster5.9 32V;Виргинские о-ва (Британские);VG
Toyota;Blizzard;Япония;JP
Datsun;Bluebird;Япония;JP
Nissan;Bluebird;Япония;JP
Nissan;Bluebird Maxima;Япония;JP
Nissan;Bluebird Sylphy;Япония;JP
Mazda;Bongo;Япония;JP
Mazda;Bongo Friendee;Япония;JP
Pontiac;Bonneville 3.8;США;US
Chery;Bonus (A13);Китай;CN
Chery;Bonus 3 (E3/A19);Китай;CN
JMC;Boomway;Китай;CN
Volkswagen;Bora;Германия;DE
Kia;Borrego;Корея;KR
Porsche;Boxster 987;Германия;DE
Geely;Boyue;Китай;CN
Fiat;Brava;Италия;IT
Oldsmobile;Bravada (III) 4.2;США;US
Mitsubishi;Bravo;Япония;JP
Fiat;Bravo 1.4;Италия;IT
Lifan;Breez 1.3;Китай;CN
Lifan;Breez 1.6;Китай;CN
Lifan;Breez cедан 1.3;Китай;CN
Lifan;Breez cедан 1.6;Китай;CN
Lifan;Breez хэтчбек 1.3;Китай;CN
Lifan;Breez хэтчбек 1.6;Китай;CN
Plymouth;Breeze 2.0;США;US
Plymouth;Breeze 2.4;США;US
Alfa Romeo;Brera 2.2L;Италия;IT
Alfa Romeo;Brera 3.2L;Италия;IT
Toyota;Brevis;Япония;JP
Ford;Bronco;США;US
Bentley;Brooklands 6.75;Виргинские о-ва (Британские);VG
Cadillac;Brougham;США;США
Mercedes;C 63 AMG 6.2 AT7;Германия;DE
TagAZ;C-30;Россия;RU
Mercedes;C-Class Estate C 180;Германия;DE
Mercedes;C-Class Estate C 230;Германия;DE
Mercedes;C-Class Saloon C 180;Германия;DE
Mercedes;C-Class Saloon C 200;Германия;DE
Mercedes;C-Class Saloon C 230;Германия;DE
Mercedes;C-Class Saloon C 280;Германия;DE
Mercedes;C-Class Saloon C 350;Германия;DE
Citroen;C-Crosser 2.2;Франция;FR
Citroen;C-Crosser 2.4;Франция;FR
Toyota;C-HR;Япония;JP
Ford;C-MAX Ambiente 1.6;США;US
Ford;C-MAX Ghia 1.6;США;US
Ford;C-MAX Ghia 1.8;США;US
Ford;C-MAX Ghia 2.0;США;US
Ford;C-MAX Titanium 1.6;США;US
Ford;C-MAX Titanium 1.8;США;US
Ford;C-MAX Titanium 2.0;США;US
Ford;C-MAX Trend 1.6;США;US
Ford;C-MAX Trend 1.8;США;US
Ford;C-MAX Trend 2.0;США;US
Citroen;C1 хетчбек 1.0;Франция;FR
Citroen;C1 хетчбек 1.4;Франция;FR
TagAZ;C10;Россия;RU
TagAZ;C190;Россия;RU
Citroen;C2 1.1;Франция;FR
Citroen;C2 1.4;Франция;FR
Citroen;C2 VTS 1.6i;Франция;FR
Citroen;C3 1.4 HDi;Франция;FR
Citroen;C3 1.6i;Франция;FR
Citroen;C3 Pluriel 1.4;Франция;FR
Citroen;C3 Pluriel 1.6i;Франция;FR
Volvo;C30;Швеция;SE
Volvo;C30 1.6;Швеция;SE
Volvo;C30 2.4i;Швеция;SE
SMA;C32 1.3i;Китай;CN
Citroen;C4 Picasso 1.8i;Франция;FR
Citroen;C4 Picasso 2.0i;Франция;FR
Citroen;C4 Picasso T;Франция;FR
Citroen;C4 Picasso VTI;Франция;FR
Citroen;C4 SpaceTourer;Франция;FR
Citroen;C4 VTi;Франция;FR
Citroen;C4 КУПЕ 1.6;Франция;FR
Citroen;C4 КУПЕ VTi;Франция;FR
Citroen;C4 КУПЕ Турбо T;Франция;FR
Citroen;C4 хетчбек 1.6;Франция;FR
Citroen;C4 хетчбек VTi;Франция;FR
Citroen;C4 хетчбек Турбо T;Франция;FR
OMODA;C5;Китай;CN
Citroen;C5 1.8i;Франция;FR
Citroen;C5 2.0;Франция;FR
Citroen;C5 2.0 HDI;Франция;FR
Citroen;C5 2.0i;Франция;FR
Citroen;C5 2.2 HDI;Франция;FR
Citroen;C5 2.7;Франция;FR
Citroen;C5 3.0i;Франция;FR
SMA;C51 1.5;Китай;CN
SMA;C52 1.5;Китай;CN
Geely;C6;Китай;CN
Citroen;C6 2.2;Франция;FR
Citroen;C6 2.7;Франция;FR
Citroen;C6 3.0;Франция;FR
SMA;C61 1.6;Китай;CN
Volvo;C70;Швеция;SE
Volvo;C70 2.4;Швеция;SE
Citroen;C8 2.0;Франция;FR
Citroen;C8 2.2;Франция;FR
Citroen;C8 3.0;Франция;FR
SMA;C81 1.8;Китай;CN
Geely;C9;Китай;CN
FAW;CA6480P6E 2.2;Китай;CN
Geely;CK 1.3;Китай;CN
Geely;CK 1.5;Китай;CN
Acura;CL;Япония;JP
Mercedes;CL 63 AMG 6.2;Германия;DE
Mercedes;CL 65 AMG 6.0;Германия;DE
Mercedes;CL-Class CL 500;Германия;DE
Mercedes;CL-Class CL 500 4MATIC;Германия;DE
Mercedes;CL-Class CL 600;Германия;DE
Mercedes;CLC Coupe CLC 180;Германия;DE
Mercedes;CLC Coupe CLC 200;Германия;DE
